유형,문제,풀이,정답,수준,비고,EQUATION: 방정식 풀이 모듈로 풀이할 수식,CODE: 추가 처리 코드,OBJECTIVE: 마지막에 print로 출력되는 값,ID
조합하기,"사과, 배, 복숭아, 감, 귤이 각각 1개씩 있습니다. 이 중 3개를 택하여 한 개의 접시에 담으려고 합니다. 감과 귤을 함께 담지 않는 방법은 모두 몇 가지입니까?",,7,초등학교 3~4학년,,x=351-158,,vars['x'],QD1
조합하기,"파란 컵, 빨간 컵, 노란 컵이 각각 한 개씩 있습니다. 컵 3개를 한 줄로 놓는 방법은 모두 몇 가지입니까?",,6,,,,,,QD2
조합하기,"은희, 준혁, 고은, 창우 4명이 첫째 주, 둘째 주, 셋째 주, 넷째 주의 도우미를 돌아가며 정하려고 합니다. 매주 한 명씩 도우미를 정하는 방법은 모두 몇 가지입니까?",,24,,,,,,QD3
조합하기,"흰색 바둑돌과 검은색 바둑돌을 한 줄로 놓으려고 합니다. 같은 색의 바둑돌을 3개 이상 연속하여 놓지 않는다고 할 때, 바둑돌 5개를 한 줄로 놓는 방법은 모두 몇 가지인지 구하시오.",,9,,,,,,QD4
조합하기,부모와 딸 3명으로 이루어진 5인 가족 중에서 부모가 포함된 4명이 일렬로 서는 방법의 수는?,,72,,,,,,QD5
조합하기,"귤, 배, 사과가 한 개씩 있습니다. 순서를 생각하지 않고 접시 한 개에 2개의 과일을 담는 방법은 모두 몇 가지입니까?",,3,,,,,,QD6
조합하기 - 약수구하기,"사과 54개를 접시에 남김없이 똑같이 나누어 담으려고 합니다. 접시에 나누어 담을 수 있는 방법은 모두 몇 가지입니까? 단, 사과 54개를 접시 한 개에 모두 담지 않습니다.",,7,,,,,,QD7
조합하기 - 약수구하기,인수는 귤 48개를 남김없이 똑같이 나누어 봉지에 담아서 보관하려고 합니다. 봉지에 귤을 담는 방법은 모두 몇 가지입니까?,,9,,,,,,QD8
조합하기 - 약수구하기,민지는 사탕 35개를 친구들에게 똑같이 나누어 주려고 합니다. 사탕을 학생들에게 나누어 줄 수 있는 방법은 모두 몇 가지입니까?,,4,,,,,,QD9
조합하기,"10개의 의자가 일렬로 놓여 있을 때, 두 사람이 의자에 앉는 방법은 모두 몇 가지인가?",,90,,,,,,QD10
조합하기,"100m 올림픽 경기에서 결승전에는 8명의 선수가 뛴다. 이 경우 금, 은, 동의 3가지 메달을 8명에게 수여하는 방법은 몇 가지인가?",,336,,,,,,QD11
조합하기,"5, 6, 7, 8, 9를 사용하여 네 자리의 정수를 만들 때, 만들 수 있는 숫자는 모두 몇 가지인지 구하여라. 단, 숫자는 중복 사용 가능",,625,,,,,,QD12
조합하기,"0, 1, 2, 4, 5의 5개 숫자 중에서 서로 다른 3개의 숫자를 사용하여 세 자리의 정수를 만들 때, 만들 수 있는 짝수의 개수를 구하시오.",,30,,,,,,QD13
조합하기,"8칸의 계단을 올라갈 때 한 번에 최대 2칸까지 오를 수 있다고 합니다. 계단을 오르는 방법은 몇 가지입니까? 단, 올라가지 않는 경우는 없다고 합니다.",,,,,,,,QD14
조합하기,"어느 과일 과게에서 딸기, 토마토, 바나나, 참외, 오렌지 5종류의 과일을 팔고 있습니다. 이 중에서 2종류의 과일을 골라 사는 방법은 모두 몇 가지입니까?",,10,,,,,,QD15
조합하기,"사과, 배, 감, 귤이 있습니다. 이 중에서 두 종류의 과일을 고르는 방법은 몇 가지입니까?",,6,,,,,,QD16
조합하기,"수박, 딸기, 배, 사과 중에서 두 가지 종류의 과일을 각각 1개씩 사려고 한다. 고를 수 있는 방법은 모두 몇 가지인지 구하여라.",,6,,,,,,QD17
